學校代碼,學校名稱,日間∕進修別,教師學歷,教授男,教授女,副教授男,副教授女,助理教授男,助理教授女,講師男,講師女,其他男,其他女,助教男,助教女,縣市名稱
0001,國立政治大學,日,博士,199,100,130,89,84,58,0,0,0,0,0,0,30 臺北市
0001,國立政治大學,日,碩士,3,1,7,3,1,2,11,19,1,2,0,6,30 臺北市
0001,國立政治大學,日,學士,0,0,2,0,0,0,1,1,1,2,3,18,30 臺北市
0002,國立清華大學,日,博士,309,52,110,59,59,29,0,0,12,2,0,0,18 新竹市
0002,國立清華大學,日,碩士,1,0,0,0,6,0,2,2,2,9,0,0,18 新竹市
0002,國立清華大學,日,學士,1,1,0,0,0,0,0,0,6,0,0,0,18 新竹市
0003,國立臺灣大學,日,博士,863,237,310,147,199,132,6,2,17,13,0,0,30 臺北市
0003,國立臺灣大學,日,碩士,6,5,8,6,4,6,5,10,3,9,3,6,30 臺北市
0003,國立臺灣大學,日,學士,22,7,12,3,9,3,5,1,1,0,0,6,30 臺北市
0004,國立臺灣師範大學,日,博士,255,137,129,129,52,54,1,2,6,12,2,0,30 臺北市
0004,國立臺灣師範大學,日,碩士,18,4,4,6,1,0,15,18,10,10,1,6,30 臺北市
0004,國立臺灣師範大學,日,學士,2,0,0,0,0,0,0,0,4,1,1,7,30 臺北市
0004,國立臺灣師範大學,日,其他,3,3,0,0,1,0,0,0,0,0,0,0,30 臺北市
0005,國立成功大學,日,博士,484,99,240,91,164,88,4,3,0,0,0,1,21 臺南市
0005,國立成功大學,日,碩士,13,1,13,3,7,2,10,11,5,0,5,6,21 臺南市
0005,國立成功大學,日,學士,40,4,21,5,10,1,2,1,2,3,5,3,21 臺南市
0006,國立中興大學,日,博士,336,62,144,39,88,37,2,1,2,1,0,0,19 臺中市
0006,國立中興大學,日,碩士,2,0,5,1,3,1,13,7,2,4,5,7,19 臺中市
0006,國立中興大學,日,學士,1,0,2,1,0,0,0,3,4,1,0,4,19 臺中市
0007,國立交通大學,日,博士,337,44,127,39,82,34,0,1,9,5,0,0,18 新竹市
0007,國立交通大學,日,碩士,5,0,3,0,4,3,3,4,4,12,0,0,18 新竹市
0007,國立交通大學,日,學士,0,0,0,0,1,0,1,0,1,0,0,1,18 新竹市
0008,國立中央大學,日,博士,273,50,136,32,93,31,0,1,0,0,0,0,03 桃園市
0008,國立中央大學,日,碩士,2,0,1,1,3,0,10,14,2,1,0,2,03 桃園市
0008,國立中央大學,日,學士,0,0,1,1,0,0,0,0,0,2,0,7,03 桃園市
0009,國立中山大學,日,博士,206,43,87,26,89,49,1,0,0,0,0,0,50 高雄市
0009,國立中山大學,日,碩士,0,1,1,0,0,0,4,5,1,0,0,1,50 高雄市
0009,國立中山大學,日,學士,0,0,0,0,0,0,0,0,2,1,0,7,50 高雄市
0009,國立中山大學,日,專科,0,0,0,0,1,0,0,0,0,0,0,0,50 高雄市
0012,國立臺灣海洋大學,日,博士,151,14,93,20,81,18,0,0,0,0,0,0,17 基隆市
0012,國立臺灣海洋大學,日,碩士,1,0,0,1,2,0,5,1,1,1,3,5,17 基隆市
0012,國立臺灣海洋大學,日,學士,0,0,0,0,0,0,0,0,2,0,4,7,17 基隆市
