學年度,設立別,學校類別,學校統計處代碼,學校名稱,合作學校國家(地區)區域別,建立跨國(境)學位合作(雙聯學制)學校數
105,公立,一般大學,1,國立政治大學,東協,1
105,公立,一般大學,1,國立政治大學,其他亞洲地區,6
105,公立,一般大學,1,國立政治大學,歐洲,5
105,公立,一般大學,1,國立政治大學,北美洲,9
105,公立,一般大學,2,國立清華大學,南亞,1
105,公立,一般大學,2,國立清華大學,港澳,1
105,公立,一般大學,2,國立清華大學,大陸地區,13
105,公立,一般大學,2,國立清華大學,其他亞洲地區,1
105,公立,一般大學,2,國立清華大學,歐洲,9
105,公立,一般大學,2,國立清華大學,北美洲,2
105,公立,一般大學,3,國立臺灣大學,東協,1
105,公立,一般大學,3,國立臺灣大學,港澳,1
105,公立,一般大學,3,國立臺灣大學,其他亞洲地區,5
105,公立,一般大學,3,國立臺灣大學,歐洲,4
105,公立,一般大學,3,國立臺灣大學,北美洲,2
105,公立,一般大學,4,國立臺灣師範大學,東協,1
105,公立,一般大學,4,國立臺灣師範大學,大陸地區,1
105,公立,一般大學,4,國立臺灣師範大學,其他亞洲地區,8
105,公立,一般大學,4,國立臺灣師範大學,歐洲,4
105,公立,一般大學,4,國立臺灣師範大學,北美洲,6
105,公立,一般大學,5,國立成功大學,東協,7
105,公立,一般大學,5,國立成功大學,大陸地區,1
105,公立,一般大學,5,國立成功大學,其他亞洲地區,3
105,公立,一般大學,5,國立成功大學,歐洲,8
105,公立,一般大學,5,國立成功大學,北美洲,9
105,公立,一般大學,6,國立中興大學,東協,2
105,公立,一般大學,6,國立中興大學,大陸地區,1
105,公立,一般大學,6,國立中興大學,其他亞洲地區,4
105,公立,一般大學,6,國立中興大學,歐洲,3
105,公立,一般大學,6,國立中興大學,北美洲,6
105,公立,一般大學,6,國立中興大學,中南美洲,1
105,公立,一般大學,7,國立交通大學,東協,6
105,公立,一般大學,7,國立交通大學,大陸地區,6
105,公立,一般大學,7,國立交通大學,其他亞洲地區,6
105,公立,一般大學,7,國立交通大學,歐洲,9
105,公立,一般大學,7,國立交通大學,北美洲,10
105,公立,一般大學,9,國立中山大學,東協,2
105,公立,一般大學,9,國立中山大學,大陸地區,1
105,公立,一般大學,9,國立中山大學,歐洲,4
105,公立,一般大學,9,國立中山大學,北美洲,1
105,公立,一般大學,12,國立臺灣海洋大學,東協,1
105,公立,一般大學,12,國立臺灣海洋大學,大陸地區,1
105,公立,一般大學,12,國立臺灣海洋大學,其他亞洲地區,2
105,公立,一般大學,12,國立臺灣海洋大學,歐洲,2
105,公立,一般大學,13,國立中正大學,其他亞洲地區,2
105,公立,一般大學,13,國立中正大學,北美洲,4
105,公立,一般大學,14,國立高雄師範大學,其他亞洲地區,1
105,公立,一般大學,15,國立彰化師範大學,北美洲,1
105,公立,一般大學,16,國立陽明大學,東協,1
105,公立,一般大學,16,國立陽明大學,歐洲,1
105,公立,一般大學,17,國立臺北大學,歐洲,7
105,公立,一般大學,17,國立臺北大學,北美洲,5
105,公立,一般大學,19,國立高雄大學,東協,1
105,公立,一般大學,19,國立高雄大學,大陸地區,1
