學年度,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別(日間),外國學生人數男,外國學生人數女
106,公立,一般大學,1,國立政治大學,1111001,教育學系,學士班(日間),3,5
106,公立,一般大學,1,國立政治大學,1111001,教育學系,碩士班(日間),0,3
106,公立,一般大學,1,國立政治大學,1111001,教育學系,博士班,1,1
106,公立,一般大學,1,國立政治大學,1114005,教育行政與政策研究所,碩士班(日間),1,0
106,公立,一般大學,1,國立政治大學,1121004,幼兒教育研究所,碩士班(日間),0,2
106,公立,一般大學,1,國立政治大學,1131002,華語文教學博士學位學程,博士班,0,5
106,公立,一般大學,1,國立政治大學,1131002,華語文教學碩士學位學程,碩士班(日間),4,6
106,公立,一般大學,1,國立政治大學,2211019,宗教研究所,碩士班(日間),3,1
106,公立,一般大學,1,國立政治大學,2211019,宗教研究所,博士班,1,1
106,公立,一般大學,1,國立政治大學,2221020,歷史學系,學士班(日間),1,0
106,公立,一般大學,1,國立政治大學,2221020,歷史學系,博士班,3,1
106,公立,一般大學,1,國立政治大學,2221021,台灣史研究所,碩士班(日間),1,1
106,公立,一般大學,1,國立政治大學,2221021,台灣史研究所,博士班,1,0
106,公立,一般大學,1,國立政治大學,2222031,民族學系,學士班(日間),2,1
106,公立,一般大學,1,國立政治大學,2222031,民族學系,碩士班(日間),0,1
106,公立,一般大學,1,國立政治大學,2222031,民族學系,博士班,1,0
106,公立,一般大學,1,國立政治大學,2231022,哲學系,學士班(日間),1,2
106,公立,一般大學,1,國立政治大學,2231022,哲學系,碩士班(日間),2,1
106,公立,一般大學,1,國立政治大學,2231022,哲學系,博士班,3,1
106,公立,一般大學,1,國立政治大學,2311009,英國語文學系,碩士班(日間),1,0
106,公立,一般大學,1,國立政治大學,2311011,日本語文學系,學士班(日間),7,0
106,公立,一般大學,1,國立政治大學,2311011,日本語文學系,碩士班(日間),1,0
106,公立,一般大學,1,國立政治大學,2311012,阿拉伯語文學系,學士班(日間),3,1
106,公立,一般大學,1,國立政治大學,2311014,韓國語文學系,學士班(日間),0,5
106,公立,一般大學,1,國立政治大學,2311014,韓國語文學系,碩士班(日間),0,2
106,公立,一般大學,1,國立政治大學,2311015,土耳其語文學系,學士班(日間),4,0
106,公立,一般大學,1,國立政治大學,2311016,歐洲語文學系,學士班(日間),0,2
106,公立,一般大學,1,國立政治大學,2311017,斯拉夫語文學系,學士班(日間),3,0
106,公立,一般大學,1,國立政治大學,2321007,台灣文學研究所,碩士班(日間),1,0
106,公立,一般大學,1,國立政治大學,2321007,台灣文學研究所,博士班,1,0
106,公立,一般大學,1,國立政治大學,2322008,中國文學系,學士班(日間),0,2
106,公立,一般大學,1,國立政治大學,2322008,中國文學系,碩士班(日間),0,3
106,公立,一般大學,1,國立政治大學,2322008,中國文學系,博士班,3,3
106,公立,一般大學,1,國立政治大學,2399018,語言學研究所,碩士班(日間),0,1
106,公立,一般大學,1,國立政治大學,3111024,經濟學系,學士班(日間),6,5
106,公立,一般大學,1,國立政治大學,3111024,經濟學系,碩士班(日間),1,0
106,公立,一般大學,1,國立政治大學,3111025,應用經濟與社會發展英語碩士學位學程,碩士班(日間),4,5
106,公立,一般大學,1,國立政治大學,3121026,政治學系,學士班(日間),3,5
106,公立,一般大學,1,國立政治大學,3121026,政治學系,碩士班(日間),3,0
106,公立,一般大學,1,國立政治大學,3121026,政治學系,博士班,3,0
106,公立,一般大學,1,國立政治大學,3122045,外交學系,學士班(日間),5,10
106,公立,一般大學,1,國立政治大學,3122045,外交學系,碩士班(日間),4,6
106,公立,一般大學,1,國立政治大學,3122046,國際研究英語碩士學位學程,碩士班(日間),22,16
106,公立,一般大學,1,國立政治大學,3131032,心理學系,學士班(日間),1,3
106,公立,一般大學,1,國立政治大學,3141030,社會學系,學士班(日間),1,3
106,公立,一般大學,1,國立政治大學,3143028,東亞研究所,碩士班(日間),5,5
106,公立,一般大學,1,國立政治大學,3143028,東亞研究所,博士班,3,1
106,公立,一般大學,1,國立政治大學,3143036,日本研究碩士學位學程,碩士班(日間),1,2
106,公立,一般大學,1,國立政治大學,3143038,俄羅斯研究所,碩士班(日間),0,2
106,公立,一般大學,1,國立政治大學,3143040,亞太研究英語博士學位學程,博士班,34,15
106,公立,一般大學,1,國立政治大學,3143040,亞太研究英語碩士學位學程,碩士班(日間),22,18
106,公立,一般大學,1,國立政治大學,3191047,國家發展研究所,碩士班(日間),3,1
106,公立,一般大學,1,國立政治大學,3191047,國家發展研究所,博士班,1,1
106,公立,一般大學,1,國立政治大學,3199048,勞工研究所,碩士班(日間),1,1
106,公立,一般大學,1,國立政治大學,3211049,傳播學院傳播碩士學位學程,碩士班(日間),4,2
106,公立,一般大學,1,國立政治大學,3211050,國際傳播英語碩士學位學程,碩士班(日間),4,21
106,公立,一般大學,1,國立政治大學,3211052,廣播電視學系,學士班(日間),2,3
106,公立,一般大學,1,國立政治大學,3212051,新聞學系,學士班(日間),1,6
106,公立,一般大學,1,國立政治大學,3212051,新聞學系,博士班,1,0
106,公立,一般大學,1,國立政治大學,3299056,傳播學院大一大二不分系,學士班(日間),2,14
106,公立,一般大學,1,國立政治大學,4111059,會計學系,學士班(日間),0,1
106,公立,一般大學,1,國立政治大學,4111059,會計學系,碩士班(日間),1,1
106,公立,一般大學,1,國立政治大學,4121068,金融學系,碩士班(日間),1,0
106,公立,一般大學,1,國立政治大學,4122070,財政學系,博士班,0,1
106,公立,一般大學,1,國立政治大學,4123069,風險管理與保險學系,學士班(日間),0,1
106,公立,一般大學,1,國立政治大學,4131060,企業管理研究所(MBA學位學程),碩士班(日間),2,3
106,公立,一般大學,1,國立政治大學,4131060,企業管理學系,學士班(日間),21,26
106,公立,一般大學,1,國立政治大學,4131064,國際經營管理英語碩士學位學程,碩士班(日間),37,27
106,公立,一般大學,1,國立政治大學,4134041,公共行政學系,碩士班(日間),0,1
106,公立,一般大學,1,國立政治大學,4134043,地政學系,學士班(日間),2,0
106,公立,一般大學,1,國立政治大學,4134043,地政學系,碩士班(日間),1,0
106,公立,一般大學,1,國立政治大學,4141067,國際經營與貿易學系,學士班(日間),2,2
106,公立,一般大學,1,國立政治大學,4141067,國際經營與貿易學系,碩士班(日間),1,1
106,公立,一般大學,1,國立政治大學,4143055,廣告學系,學士班(日間),0,2
106,公立,一般大學,1,國立政治大學,4211073,法律學系,博士班,2,0
106,公立,一般大學,1,國立政治大學,4212074,法律科際整合研究所,碩士班(日間),2,0
106,公立,一般大學,1,國立政治大學,6131081,資訊科學系,學士班(日間),3,1
106,公立,一般大學,1,國立政治大學,6131081,資訊科學系,碩士班(日間),0,1
106,公立,一般大學,1,國立政治大學,6131082,社群網路與人智計算國際研究生博士學位學程,博士班,7,1
106,公立,一般大學,1,國立政治大學,6134057,數位內容碩士學位學程,碩士班(日間),0,1
106,公立,一般大學,2,國立清華大學,1111084,教育與學習科技學系,學士班(日間),0,2
106,公立,一般大學,2,國立清華大學,1113095,特殊教育學系,學士班(日間),1,0
106,公立,一般大學,2,國立清華大學,1121091,幼兒教育學系,學士班(日間),1,6
106,公立,一般大學,2,國立清華大學,1121091,幼兒教育學系,碩士班(日間),0,1
106,公立,一般大學,2,國立清華大學,1131085,數理教育研究所,碩士班(日間),1,1
106,公立,一般大學,2,國立清華大學,2131098,藝術與設計學系,學士班(日間),1,0
106,公立,一般大學,2,國立清華大學,2151096,音樂學系,碩士班(日間),0,1
106,公立,一般大學,2,國立清華大學,2221006,歷史研究所,碩士班(日間),1,1
106,公立,一般大學,2,國立清華大學,2221006,歷史研究所,博士班,0,1
106,公立,一般大學,2,國立清華大學,2222007,人類學研究所,碩士班(日間),0,1
106,公立,一般大學,2,國立清華大學,2222007,人類學研究所,博士班,1,1
106,公立,一般大學,2,國立清華大學,2299009,亞際文化研究國際碩士學位學程(台灣聯合大學系統),碩士班(日間),1,0
106,公立,一般大學,2,國立清華大學,2299010,人文社會學院學士班,學士班(日間),1,0
106,公立,一般大學,2,國立清華大學,2311002,外國語文學系,學士班(日間),1,2
106,公立,一般大學,2,國立清華大學,2311002,外國語文學系,碩士班(日間),1,3
106,公立,一般大學,2,國立清華大學,2322003,中國文學系,學士班(日間),2,2
106,公立,一般大學,2,國立清華大學,2322003,中國文學系,碩士班(日間),3,4
106,公立,一般大學,2,國立清華大學,2322109,中國語文學系,學士班(日間),2,1
106,公立,一般大學,2,國立清華大學,2322109,中國語文學系,碩士班(日間),1,0
106,公立,一般大學,2,國立清華大學,2399005,語言學研究所,碩士班(日間),3,2
106,公立,一般大學,2,國立清華大學,2399005,語言學研究所,博士班,2,1
106,公立,一般大學,2,國立清華大學,3111011,經濟學系,學士班(日間),7,3
106,公立,一般大學,2,國立清華大學,3111011,經濟學系,碩士班(日間),0,2
106,公立,一般大學,2,國立清華大學,3111011,經濟學系,博士班,1,0
106,公立,一般大學,2,國立清華大學,3131077,教育心理與諮商學系,學士班(日間),2,2
106,公立,一般大學,2,國立清華大學,3131077,教育心理與諮商學系,碩士班(日間),1,0
106,公立,一般大學,2,國立清華大學,3141012,社會學研究所,博士班,1,0
106,公立,一般大學,2,國立清華大學,4131018,國際專業管理碩士班,碩士班(日間),27,18
106,公立,一般大學,2,國立清華大學,4199022,服務科學研究所,碩士班(日間),1,0
106,公立,一般大學,2,國立清華大學,4199022,服務科學研究所,博士班,6,3
106,公立,一般大學,2,國立清華大學,5121026,生物科技研究所,碩士班(日間),1,2
106,公立,一般大學,2,國立清華大學,5121026,生物科技研究所,博士班,1,2
106,公立,一般大學,2,國立清華大學,5121028,分子與細胞生物研究所,碩士班(日間),0,1
106,公立,一般大學,2,國立清華大學,5121028,分子與細胞生物研究所,博士班,4,3
106,公立,一般大學,2,國立清華大學,5121030,生物資訊與結構生物研究所,碩士班(日間),1,0
106,公立,一般大學,2,國立清華大學,5121030,生物資訊與結構生物研究所,博士班,9,3
106,公立,一般大學,2,國立清華大學,5124072,分子醫學研究所,碩士班(日間),0,2
106,公立,一般大學,2,國立清華大學,5124072,分子醫學研究所,博士班,1,1
106,公立,一般大學,2,國立清華大學,5211102,環境與文化資源學系,學士班(日間),0,1
106,公立,一般大學,2,國立清華大學,5311037,化學系,碩士班(日間),2,2
106,公立,一般大學,2,國立清華大學,5311037,化學系,博士班,62,11
106,公立,一般大學,2,國立清華大學,5331038,物理學系,學士班(日間),2,0
106,公立,一般大學,2,國立清華大學,5331038,物理學系,碩士班(日間),1,0
106,公立,一般大學,2,國立清華大學,5331038,物理學系,博士班,5,2
106,公立,一般大學,2,國立清華大學,5332039,天文研究所,碩士班(日間),1,1
106,公立,一般大學,2,國立清華大學,5332039,天文研究所,博士班,1,0
106,公立,一般大學,2,國立清華大學,5411043,數學系,碩士班(日間),2,0
106,公立,一般大學,2,國立清華大學,6131053,資訊工程學系,學士班(日間),7,1
106,公立,一般大學,2,國立清華大學,6131053,資訊工程學系,碩士班(日間),5,1
106,公立,一般大學,2,國立清華大學,6131053,資訊工程學系,博士班,4,0
106,公立,一般大學,2,國立清華大學,6134046,資訊系統與應用研究所,碩士班(日間),12,11
106,公立,一般大學,2,國立清華大學,6134046,資訊系統與應用研究所,博士班,4,1
106,公立,一般大學,2,國立清華大學,6134048,社群網路與人智計算國際研究生博士學位學程,博士班,11,1
106,公立,一般大學,2,國立清華大學,7111057,化學工程學系,學士班(日間),3,1
106,公立,一般大學,2,國立清華大學,7111057,化學工程學系,碩士班(日間),4,2
106,公立,一般大學,2,國立清華大學,7111057,化學工程學系,博士班,11,3
106,公立,一般大學,2,國立清華大學,7112058,材料科學工程學系,學士班(日間),0,1
106,公立,一般大學,2,國立清華大學,7112058,材料科學工程學系,碩士班(日間),7,1
