學年度,學期（上學期為1；下學期為2）,設立別,學校類別,學校統計處代碼,學校名稱,系所代碼,系所名稱,學制班別,修讀雙主修人次男,修讀雙主修人次女
106,1,公立,一般大學,1,國立政治大學,1111001,教育學系,學士班(日間),16,24
106,1,公立,一般大學,1,國立政治大學,2221020,歷史學系,學士班(日間),18,10
106,1,公立,一般大學,1,國立政治大學,2222031,民族學系,學士班(日間),17,30
106,1,公立,一般大學,1,國立政治大學,2231022,哲學系,學士班(日間),12,25
106,1,公立,一般大學,1,國立政治大學,2311009,英國語文學系,學士班(日間),15,33
106,1,公立,一般大學,1,國立政治大學,2311011,日本語文學系,學士班(日間),8,28
106,1,公立,一般大學,1,國立政治大學,2311012,阿拉伯語文學系,學士班(日間),10,30
106,1,公立,一般大學,1,國立政治大學,2311014,韓國語文學系,學士班(日間),4,13
106,1,公立,一般大學,1,國立政治大學,2311015,土耳其語文學系,學士班(日間),5,10
106,1,公立,一般大學,1,國立政治大學,2311016,歐洲語文學系,學士班(日間),11,43
106,1,公立,一般大學,1,國立政治大學,2311017,斯拉夫語文學系,學士班(日間),6,20
106,1,公立,一般大學,1,國立政治大學,2322008,中國文學系,學士班(日間),13,50
106,1,公立,一般大學,1,國立政治大學,3111024,經濟學系,學士班(日間),21,34
106,1,公立,一般大學,1,國立政治大學,3121026,政治學系,學士班(日間),13,23
106,1,公立,一般大學,1,國立政治大學,3122045,外交學系,學士班(日間),22,41
106,1,公立,一般大學,1,國立政治大學,3131032,心理學系,學士班(日間),9,10
106,1,公立,一般大學,1,國立政治大學,3141030,社會學系,學士班(日間),10,16
106,1,公立,一般大學,1,國立政治大學,3211049,傳播學院傳播學士學位學程,學士班(日間),1,3
106,1,公立,一般大學,1,國立政治大學,3211052,廣播電視學系,學士班(日間),7,17
106,1,公立,一般大學,1,國立政治大學,3212051,新聞學系,學士班(日間),12,24
106,1,公立,一般大學,1,國立政治大學,3299056,傳播學院大一大二不分系,學士班(日間),9,27
106,1,公立,一般大學,1,國立政治大學,4111059,會計學系,學士班(日間),19,27
106,1,公立,一般大學,1,國立政治大學,4121065,財務管理學系,學士班(日間),4,10
106,1,公立,一般大學,1,國立政治大學,4121068,金融學系,學士班(日間),13,7
106,1,公立,一般大學,1,國立政治大學,4122070,財政學系,學士班(日間),15,23
106,1,公立,一般大學,1,國立政治大學,4123069,風險管理與保險學系,學士班(日間),6,9
106,1,公立,一般大學,1,國立政治大學,4131060,企業管理學系,學士班(日間),18,38
106,1,公立,一般大學,1,國立政治大學,4134041,公共行政學系,學士班(日間),1,25
106,1,公立,一般大學,1,國立政治大學,4134043,地政學系,學士班(日間),19,25
106,1,公立,一般大學,1,國立政治大學,4141067,國際經營與貿易學系,學士班(日間),9,24
106,1,公立,一般大學,1,國立政治大學,4143055,廣告學系,學士班(日間),20,45
106,1,公立,一般大學,1,國立政治大學,4211073,法律學系,學士班(日間),35,34
106,1,公立,一般大學,1,國立政治大學,5411078,應用數學系,學士班(日間),3,6
106,1,公立,一般大學,1,國立政治大學,5421079,統計學系,學士班(日間),6,2
106,1,公立,一般大學,1,國立政治大學,6131080,資訊管理學系,學士班(日間),28,20
106,1,公立,一般大學,1,國立政治大學,6131081,資訊科學系,學士班(日間),13,5
106,1,公立,一般大學,2,國立清華大學,1111084,教育與學習科技學系,學士班(日間),1,0
106,1,公立,一般大學,2,國立清華大學,1113095,特殊教育學系,學士班(日間),1,0
106,1,公立,一般大學,2,國立清華大學,2299010,人文社會學院學士班,學士班(日間),3,6
106,1,公立,一般大學,2,國立清華大學,2311002,外國語文學系,學士班(日間),3,14
106,1,公立,一般大學,2,國立清華大學,2322003,中國文學系,學士班(日間),4,12
106,1,公立,一般大學,2,國立清華大學,2322109,中國語文學系,學士班(日間),0,1
106,1,公立,一般大學,2,國立清華大學,3111011,經濟學系,學士班(日間),15,9
106,1,公立,一般大學,2,國立清華大學,4121020,計量財務金融學系,學士班(日間),1,3
106,1,公立,一般大學,2,國立清華大學,4199023,科技管理學院學士班,學士班(日間),1,3
106,1,公立,一般大學,2,國立清華大學,5121025,生命科學系,學士班(日間),1,0
106,1,公立,一般大學,2,國立清華大學,5199032,生命科學院學士班,學士班(日間),3,0
106,1,公立,一般大學,2,國立清華大學,5211102,環境與文化資源學系,學士班(日間),0,1
106,1,公立,一般大學,2,國立清華大學,5311037,化學系,學士班(日間),3,0
106,1,公立,一般大學,2,國立清華大學,5331038,物理學系,學士班(日間),3,0
106,1,公立,一般大學,2,國立清華大學,5411043,數學系,學士班(日間),13,1
106,1,公立,一般大學,2,國立清華大學,5411092,應用數學系,學士班(日間),1,1
106,1,公立,一般大學,2,國立清華大學,6131053,資訊工程學系,學士班(日間),0,2
106,1,公立,一般大學,2,國立清華大學,7112058,材料科學工程學系,學士班(日間),3,0
106,1,公立,一般大學,2,國立清華大學,7141049,電機工程學系,學士班(日間),4,0
