學校代碼,學校名稱,日間∕進修別,教師學歷,一般教師(含客座及講座)-教授-男,一般教師(含客座及講座)-教授-女,一般教師(含客座及講座)-副教授-男,一般教師(含客座及講座)-副教授-女,一般教師(含客座及講座)-助理教授-男,一般教師(含客座及講座)-助理教授-女,一般教師(含客座及講座)-講師-男,一般教師(含客座及講座)-講師-女,專業技術人員及教師-教授-男,專業技術人員及教師-教授-女,專業技術人員及教師-副教授-男,專業技術人員及教師-副教授-女,專業技術人員及教師-助理教授-男,專業技術人員及教師-助理教授-女,專業技術人員及教師-講師-男,專業技術人員及教師-講師-女,專案教學人員-教授-男,專案教學人員-教授-女,專案教學人員-副教授-男,專案教學人員-副教授-女,專案教學人員-助理教授-男,專案教學人員-助理教授-女,專案教學人員-講師-男,專案教學人員-講師-女,其他教師-教官-男,其他教師-教官-女,其他教師-護理教師-男,其他教師-護理教師-女,其他教師-護理臨床指導教師-男,其他教師-護理臨床指導教師-女,其他教師-運動教練-男,其他教師-運動教練-女,其他教師-助教-男,其他教師-助教-女,縣市名稱,體系別
0001,國立政治大學,日,博士,187,110,138,90,51,43,0,0,0,0,0,0,0,0,0,1,1,0,1,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0001,國立政治大學,日,碩士,4,1,4,0,2,0,2,3,0,0,0,1,3,1,3,1,1,0,0,0,0,0,5,12,0,2,0,0,0,0,0,0,0,4,30 臺北市,1 一般
0001,國立政治大學,日,學士,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,15,30 臺北市,1 一般
0001,國立政治大學,進,博士,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0002,國立清華大學,日,博士,342,82,138,106,55,46,0,0,0,0,0,0,0,0,0,0,11,1,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,日,碩士,4,2,7,0,3,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,日,學士,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0002,國立清華大學,進,學士,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18 新竹市,1 一般
0003,國立臺灣大學,日,博士,850,260,295,165,185,130,3,3,1,0,0,0,1,0,0,0,0,1,1,0,17,9,0,0,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般
0003,國立臺灣大學,日,碩士,8,5,6,6,4,7,5,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,2,0,1,0,0,0,0,0,0,1,6,30 臺北市,1 一般
0003,國立臺灣大學,日,學士,21,7,9,4,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30 臺北市,1 一般
0004,國立臺灣師範大學,日,博士,259,149,119,112,49,40,2,0,0,0,0,0,0,0,0,0,3,1,0,0,11,10,1,1,0,0,0,0,0,0,0,0,0,0,30 臺北市,3 師範
0004,國立臺灣師範大學,日,碩士,12,4,3,5,1,0,4,9,2,0,0,0,0,1,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,0,0,0,1,5,30 臺北市,3 師範
0004,國立臺灣師範大學,日,學士,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,30 臺北市,3 師範
0004,國立臺灣師範大學,日,其他,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30 臺北市,3 師範
0005,國立成功大學,日,博士,502,108,242,110,136,61,4,2,0,0,0,0,0,0,0,0,1,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,1,21 臺南市,1 一般
